sut_index,sut_id,source,target_class,workflow_exit
81,73_fim1,rescued,osa.ora.server.admin.ui.AddUserPanel,0
82,74_fixsuite,preflight_ok,org.fixsuite.message.Library,0
83,75_openhre,preflight_ok,com.browsersoft.aacs.Group,0
84,76_dash-framework,preflight_ok,dash.examples.buildConsumers.BuildFieldConsumer,0
85,77_io-project,preflight_ok,ioproject.client.network.Server,0
86,78_caloriecount,preflight_ok,com.lts.ExceptionUtil,0
87,79_twfbplayer,preflight_ok,de.outstare.fortbattleplayer.Applet,0
88,7_sfmis,preflight_ok,com.hf.sfm.crypt.Base64,0
89,80_wheelwebtool,preflight_ok,wheel.Asset,0
90,81_javathena,preflight_ok,org.character.CharServer,0
91,82_ipcalculator,preflight_ok,ipac.BinaryCalculate,0
92,83_xbus,rescued,net.sf.xbus.base.core.MessageHandler,0
93,84_ifx-framework,preflight_ok,org.sourceforge.ifx.basetypes.IFXBase64Binary,0
94,85_shop,preflight_ok,umd.cs.shop.JSAllReduction,0
95,86_at-robots2-j,preflight_ok,net.virtualinfinity.atrobots.ArenaObjectVisitorAdaptor,0
96,87_jaw-br,preflight_ok,jaw.Main,0
97,88_jopenchart,preflight_ok,de.progra.charting.Axis,0
98,89_jiggler,preflight_ok,jigl.image.ColorHistogram,0
99,8_gfarcegestionfa,preflight_ok,fr.unice.gfarce.connect.Db4oConfig,0
100,90_dcparseargs,preflight_ok,de.devcity.parseargs.ArgsParser,0
101,91_classviewer,preflight_ok,com.jstevh.tools.StringList,0
102,92_jcvi-javacommon,preflight_ok,org.jcvi.jillion.assembly.AssemblyUtil,0
103,93_quickserver,preflight_ok,org.quickserver.net.client.BlockingClient,0
104,94_jclo,preflight_ok,Example,0
105,95_celwars2009,preflight_ok,Client,0
106,96_heal,preflight_ok,hsqlServlet,0
107,97_feudalismgame,preflight_ok,src.Actions,0
108,98_trans-locator,preflight_ok,Joshua.FoxHunt.FoxCalc,0
109,99_newzgrabber,preflight_ok,Newzgrabber.AboutPanel,0
110,9_falselight,preflight_ok,DataBase,0
