model	sut_id	target_module	repeat	cluster_status	final_status	final_class	coverage_available	mutation_available	executable_for_coverage	runnable_test_count	line_pct_raw	branch_pct_raw	mutation_score_pct_raw	line_pct_strict0	branch_pct_strict0	mutation_score_pct_strict0	mutation_total	mutation_checked	generated_tests_sha256	source_cluster_status_json	eval_status_json	nodeid_rescue_v1_applied	nodeid_rescue_v1_old_status	nodeid_rescue_v1_pass_count	nodeid_rescue_v1_fail_count	nodeid_rescue_v1_passing_nodeids	mutation_v5_applied	mutation_v5_batch_status	mutation_v5_tool_exit_code	mutation_v5_parse_source	mutation_v5_killed	mutation_v5_survived	mutation_v5_timeout	mutation_v5_suspicious	mutation_v5_skipped	mutation_v5_not_checked	mutation_v5_no_tests	mutation_v5_total	mutation_v5_logcorrected
cluster-max-codellama-7b-instruct-ctx16k	ansible_14f	ansible.utils.unicode	3	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	f9935c4fd0bfc0931f6864f787fc721aead9ff52e97ed4f462cb41545ccef1e2	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_14f/run_0001/0003-3/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_14f/run_0001/0003-3/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	ansible_14f	ansible.utils.unicode	4	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	bda4bd2b0b3a38717abe9d91d1fd2182de2f0c4bb4adff86bbb8ce9eb7dd291f	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_14f/run_0001/0003-4/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_14f/run_0001/0003-4/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	ansible_14f	ansible.utils.unicode	5	ok	mutation_no_checked_mutants	evaluated_coverage_only_mutation_no_checked	True	False	True	2	40.38	0.0		40.38	0.0	0.0	8	0	c777fa9f45bb6afb12b149a8f8d27ca5791cdbff37e357915c861fc8f4375c71	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_14f/run_0001/0003-5/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_14f/run_0001/0003-5/metrics/status.json	False					True	tool_completed	0	mutmut_results_lines	0	0	0	0	0	8	0	8	False
cluster-max-codellama-7b-instruct-ctx16k	ansible_17f	ansible.utils.unicode	1	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	1a6e00f71cd4b156fccd9680c2032eafbecbd12aa47920d4cf3ebea1b72289c9	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_17f/run_0001/0004-1/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_17f/run_0001/0004-1/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	ansible_17f	ansible.utils.unicode	2	ok	sanitization_no_failed_tests_detected	strict_zero_sanitization_no_failed_tests_detected	False	False	False					0.0	0.0	0.0		0	6d948257bb471e15d2f1c99b616c15a9274c399b3654c84451f26621d24e472d	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_17f/run_0001/0004-2/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_17f/run_0001/0004-2/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	ansible_17f	ansible.utils.unicode	3	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	39c597083703eefa1dfc021f873e4d57984ca3ba9e7359a17cfdf11fe261e296	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_17f/run_0001/0004-3/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_17f/run_0001/0004-3/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	ansible_17f	ansible.utils.unicode	4	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	9805cc47bf0f66744b681e81610fed44022e1caf48e4410c75ad63eedb115134	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_17f/run_0001/0004-4/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_17f/run_0001/0004-4/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	ansible_17f	ansible.utils.unicode	5	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	f6acdc3c03ef39ce63d4942ee9c7a9b6ba12cbfa896e9c167376686a8cf44c8e	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_17f/run_0001/0004-5/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_17f/run_0001/0004-5/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	black_2f	blib2to3.pgen2.token	1	ok	ok	evaluated_coverage_and_mutation	True	True	True	3	100.0	100.0	100.0	100.0	100.0	100.0	3	3	f79fbfe7eb9a554a1a086edf56cdda91f9603ec6a87acf4469e123514648e2bf	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_2f/run_0001/0005-1/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_2f/run_0001/0005-1/metrics/status.json	False					True	tool_completed	0	mutmut_stdout_summary_v5	3	0	0	0	0	0	0	3	False
cluster-max-codellama-7b-instruct-ctx16k	black_2f	blib2to3.pgen2.token	2	ok	ok	evaluated_coverage_and_mutation	True	True	True	1	97.3	100.0	100.0	97.3	100.0	100.0	3	1	d448cc47d2f81cc6e2e25de0868d88b4ebac1193df59f2033ebd732bbc8b80da	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_2f/run_0001/0005-2/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_2f/run_0001/0005-2/metrics/status.json	False					True	tool_completed	0	mutmut_stdout_summary_v5	1	0	0	0	0	0	2	3	True
cluster-max-codellama-7b-instruct-ctx16k	black_2f	blib2to3.pgen2.token	3	ok	ok	evaluated_coverage_and_mutation	True	True	True	5	100.0	100.0	33.33333333333333	100.0	100.0	33.33333333333333	3	3	eddfac9f0376eebc47a4888e9ff2815fe1d7a6e89f18209466d8ac3ddc625035	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_2f/run_0001/0005-3/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_2f/run_0001/0005-3/metrics/status.json	False					True	tool_completed	0	mutmut_stdout_summary_v5	1	2	0	0	0	0	0	3	True
cluster-max-codellama-7b-instruct-ctx16k	black_2f	blib2to3.pgen2.token	4	ok	ok	evaluated_coverage_and_mutation	True	True	True	3	98.65	100.0	50.0	98.65	100.0	50.0	3	2	e434627335cba70118111fac2987eb59462208207ca5f7c58e9d6a9e6726bed9	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_2f/run_0001/0005-4/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_2f/run_0001/0005-4/metrics/status.json	False					True	tool_completed	0	mutmut_stdout_summary_v5	1	1	0	0	0	0	1	3	True
cluster-max-codellama-7b-instruct-ctx16k	black_2f	blib2to3.pgen2.token	5	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	219cb93403f7592dc0684b4d879e46a825eff8acb9fb6cc193c08bef7ac43279	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_2f/run_0001/0005-5/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_2f/run_0001/0005-5/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	black_5f	blib2to3.pgen2.driver	1	ok	sanitization_no_failed_tests_detected	strict_zero_sanitization_no_failed_tests_detected	False	False	False					0.0	0.0	0.0		0	26290fd20a7952da725bed4a9410bc102221a8ba61ea82b76216b93bba29e015	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_5f/run_0001/0006-1/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_5f/run_0001/0006-1/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	black_5f	blib2to3.pgen2.driver	2	ok	pytest_final_fail	strict_zero_downstream_pytest_final_fail	False	False	False					0.0	0.0	0.0		0	58e019e0612428cf33f54e3566fe32239c9973dc199a8f2bbbf1d805fd2ce5e5	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_5f/run_0001/0006-2/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_5f/run_0001/0006-2/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	black_5f	blib2to3.pgen2.driver	3	ok	mutation_no_checked_mutants	evaluated_coverage_only_mutation_no_checked	True	False	True	2	15.44	1.562		15.44	1.562	0.0	303	0	d3290cef0e13a6a973d4a235c4ce483ebd2b8fbe0e5fcb40e0afec04e39e29db	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_5f/run_0001/0006-3/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_5f/run_0001/0006-3/metrics/status.json	False					True	tool_completed	0	mutmut_results_lines	0	0	0	0	0	303	0	303	False
cluster-max-codellama-7b-instruct-ctx16k	black_5f	blib2to3.pgen2.driver	4	ok	pytest_final_fail	strict_zero_downstream_pytest_final_fail	False	False	False					0.0	0.0	0.0		0	c6447b770aabb78797229b045510ccfb0624721f2ed96929c322a3d6e92697ca	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_5f/run_0001/0006-4/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_5f/run_0001/0006-4/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	black_5f	blib2to3.pgen2.driver	5	ok	pytest_final_fail	strict_zero_downstream_pytest_final_fail	False	False	False					0.0	0.0	0.0		0	e16a28f46d1c115f85069361c9f87f1dba59a3a44a05f21ea0667584e006ea18	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_5f/run_0001/0006-5/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_5f/run_0001/0006-5/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	cookiecutter_1f	cookiecutter.log	1	ok	nodeid_rescue_coverage_recovered	evaluated_coverage_nodeid_rescue_mutation_unavailable	True	False	True	1	73.91304347826087	50.0		73.91304347826087	50.0	0			31d8e0992950ae80b4dc1cbef995fe5c872925281f110d6f00e3381e63141785	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/cookiecutter_1f/run_0001/0007-1/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/cookiecutter_1f/run_0001/0007-1/metrics/status.json	True	sanitization_no_failed_tests_detected	1	5	tests/test_gpt_iaedu.py::TestConfigureLogger::test_debug	False												
cluster-max-codellama-7b-instruct-ctx16k	cookiecutter_1f	cookiecutter.log	2	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	f94dc5ef22375bd05dd28a3ce3a21bd54cd5882cfbe780f0aa9b923bb5360a1f	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/cookiecutter_1f/run_0001/0007-2/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/cookiecutter_1f/run_0001/0007-2/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	cookiecutter_1f	cookiecutter.log	3	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	ba72ffd7cadbe71b5a204a60c77d38bcbb4f15787e8680bca2978f5c09707969	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/cookiecutter_1f/run_0001/0007-3/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/cookiecutter_1f/run_0001/0007-3/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	cookiecutter_1f	cookiecutter.log	4	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	695a9951eb3ff56f890e2c139661dd1a73e7f50c54ad3723cad7a5783899b3ac	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/cookiecutter_1f/run_0001/0007-4/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/cookiecutter_1f/run_0001/0007-4/metrics/status.json	False					False												
cluster-max-codellama-7b-instruct-ctx16k	cookiecutter_1f	cookiecutter.log	5	ok	ok	evaluated_coverage_and_mutation	True	True	True	1	76.19	50.0	29.629629629629626	76.19	50.0	29.629629629629626	27	27	3bbd6f5d82b57c1f6a7fead1af7974303c0afbcbbbcb0a9e90655c310c077bb1	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/cookiecutter_1f/run_0001/0007-5/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/cookiecutter_1f/run_0001/0007-5/metrics/status.json	False					True	tool_completed	0	mutmut_stdout_summary_v5	8	19	0	0	0	0	0	27	True
cluster-max-codellama-7b-instruct-ctx16k	cookiecutter_3f	cookiecutter.log	1	ok	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	False	False	False	0				0.0	0.0	0.0		0	e46da7e60c9568c0dc37d19f476f9a1a51007181c23d627192019fa53e86bfc7	/home/jpaiva/projetos/bugsinpy_v5_cluster/bugsinpy_zero_shot_cluster_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/cookiecutter_3f/run_0001/0008-1/status.json	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/cookiecutter_3f/run_0001/0008-1/metrics/status.json	False					False												
